iter	Logloss
0	0.6780197538
1	0.6643224998
2	0.6504014973
3	0.6373942202
4	0.6256968265
5	0.6137007562
6	0.6029377965
7	0.5930166027
8	0.5843992991
9	0.5754519267
10	0.5667294768
11	0.5587053113
12	0.5509948854
13	0.5440525263
14	0.5373656365
15	0.5312761668
16	0.5253954247
17	0.5199594586
18	0.5147441924
19	0.5093521861
20	0.504988512
21	0.5002930674
22	0.4957146092
23	0.4913992735
24	0.4874284063
25	0.4836758524
26	0.4802691739
27	0.4765378428
28	0.4734497896
29	0.4706011535
30	0.467333395
31	0.4646652928
32	0.4622611334
33	0.4600678163
34	0.4577954923
35	0.4556901123
36	0.4537320397
37	0.4515974502
38	0.4498389637
39	0.4481505947
40	0.4463989537
41	0.4447685533
42	0.443197452
43	0.4413332008
44	0.4399738081
45	0.4387062154
46	0.4375514631
47	0.4361904745
48	0.4350569749
49	0.4338673478
50	0.4327602041
51	0.4318888634
52	0.430834017
53	0.4297448581
54	0.4288872107
55	0.4280210125
56	0.4270274274
57	0.4261992488
58	0.4254774129
59	0.4245811857
60	0.42395788
61	0.4233697365
62	0.4227105166
63	0.4221872834
64	0.421644294
65	0.4211330206
66	0.4204523532
67	0.4198406833
68	0.4192788343
69	0.4185683051
70	0.4181707186
71	0.4177450694
72	0.4171708289
73	0.4166486753
74	0.4162974114
75	0.4159516529
76	0.4154779386
77	0.4150432856
78	0.4146463083
79	0.4142113536
80	0.4137288263
81	0.4132048645
82	0.4127800611
83	0.4123692684
84	0.4120381874
85	0.4117574235
86	0.4114146197
87	0.4110198426
88	0.410662318
89	0.4102915545
90	0.4099345452
91	0.409636852
92	0.4092209434
93	0.408906645
94	0.4085764775
95	0.4081428987
96	0.4078049584
97	0.407471745
98	0.4072155268
99	0.4069778818
100	0.4066522791
101	0.4064056604
102	0.4061307552
103	0.4058921232
104	0.4056402998
105	0.4052942253
106	0.40503509
107	0.4048015173
108	0.4044844612
109	0.4041669348
110	0.4039448826
111	0.4036308192
112	0.4032985425
113	0.4030244508
114	0.4027177116
115	0.4025412895
116	0.4023513459
117	0.4021378969
118	0.401970343
119	0.4017705118
120	0.4015426769
121	0.4012941187
122	0.4011104825
123	0.4010064683
124	0.4009026902
125	0.4007096489
126	0.4004735272
127	0.4002268834
128	0.4000380765
129	0.3998598665
130	0.3996211126
131	0.3993373431
132	0.3992049942
133	0.3991118612
134	0.3989623275
135	0.3988467275
136	0.3986017847
137	0.3984442638
138	0.3982411693
139	0.3979600918
140	0.3977061616
141	0.3975812703
142	0.3974031065
143	0.3973625402
144	0.3971917304
145	0.3970245972
146	0.3968338426
147	0.3965053624
148	0.3963224063
149	0.396147328
150	0.3959691308
151	0.3957111336
152	0.3954673795
153	0.3953182935
154	0.3951586039
