iter	Passed	Remaining
0	140	140587
1	142	70950
2	144	48148
3	147	36739
4	149	29835
5	152	25268
6	155	22025
7	157	19551
8	160	17656
9	162	16132
10	165	14886
11	168	13842
12	170	12950
13	173	12189
14	176	11566
15	177	10944
16	180	10449
17	183	9988
18	185	9575
19	188	9222
20	191	8907
21	193	8609
22	196	8332
23	198	8075
24	201	7843
25	203	7627
26	206	7428
27	208	7252
28	211	7080
29	214	6921
30	216	6776
31	219	6632
32	221	6499
33	223	6341
34	225	6227
35	228	6120
36	230	6000
37	233	5902
38	235	5809
39	238	5721
40	241	5639
41	243	5560
42	246	5487
43	249	5416
44	251	5347
45	254	5285
46	257	5220
47	260	5160
48	262	5100
49	265	5044
50	268	4990
51	270	4936
52	273	4886
53	276	4839
54	278	4792
55	281	4747
56	284	4702
57	287	4662
58	289	4622
59	292	4582
60	295	4544
61	297	4506
62	300	4468
63	303	4436
64	306	4403
65	308	4364
66	311	4333
67	313	4302
68	316	4272
69	319	4246
70	322	4218
71	325	4190
72	327	4163
73	330	4138
74	333	4115
75	336	4091
76	339	4067
77	342	4043
78	344	4019
79	347	3996
80	350	3974
81	353	3952
82	355	3933
83	358	3912
84	361	3892
85	364	3873
86	367	3853
87	370	3835
88	372	3817
89	375	3800
90	378	3781
91	381	3763
92	384	3747
93	386	3729
94	389	3712
95	392	3695
96	395	3677
97	397	3661
98	400	3645
99	403	3629
100	405	3612
101	408	3597
102	411	3582
103	414	3566
104	416	3552
105	419	3538
106	422	3523
107	424	3508
108	427	3494
109	430	3480
110	432	3467
111	435	3453
112	438	3440
113	440	3427
114	443	3414
115	446	3403
116	449	3391
117	452	3379
118	454	3366
119	457	3355
120	460	3343
121	463	3332
122	465	3320
123	468	3308
124	471	3297
125	473	3286
126	476	3275
127	479	3264
128	481	3253
129	484	3242
130	487	3231
131	489	3221
132	492	3211
133	495	3201
134	497	3190
135	500	3180
136	503	3171
137	506	3161
138	508	3151
139	511	3142
140	514	3133
141	517	3124
142	519	3114
143	521	3099
144	524	3091
145	527	3083
146	529	3075
147	533	3068
148	535	3060
149	538	3052
150	541	3043
151	544	3037
152	547	3030
153	550	3022
154	553	3015
155	556	3008
156	559	3001
157	561	2994
158	564	2987
159	567	2979
160	570	2972
161	573	2964
162	575	2957
163	578	2951
164	581	2943
165	584	2935
166	587	2928
167	589	2921
168	592	2914
169	595	2907
170	598	2899
171	600	2893
172	603	2885
173	606	2879
174	609	2872
175	612	2865
176	614	2858
177	617	2851
178	620	2843
179	622	2837
180	625	2830
181	628	2823
182	631	2817
183	633	2811
184	636	2804
185	639	2798
186	653	2842
187	660	2851
188	665	2856
189	670	2859
190	675	2860
191	679	2860
192	683	2859
193	687	2858
194	692	2856
195	695	2851
196	698	2845
197	701	2840
198	705	2838
199	708	2832
200	711	2827
201	714	2823
202	718	2820
203	721	2815
204	725	2812
205	728	2807
206	731	2803
207	734	2798
208	738	2793
209	741	2788
210	744	2783
211	748	2780
212	751	2776
213	754	2772
214	758	2768
215	761	2764
216	764	2759
217	768	2755
218	771	2752
219	775	2747
220	778	2742
221	781	2737
222	783	2731
223	787	2726
224	790	2722
225	793	2716
226	796	2711
227	800	2709
228	803	2706
229	807	2702
230	810	2697
231	813	2693
232	817	2689
233	820	2685
234	823	2680
235	826	2674
236	829	2669
237	832	2665
238	835	2661
239	839	2657
240	842	2652
241	845	2649
242	848	2644
243	852	2640
244	855	2635
245	858	2630
246	861	2627
247	865	2624
248	868	2619
249	871	2614
250	874	2609
251	877	2605
252	880	2600
253	883	2596
254	886	2589
255	889	2584
256	892	2581
257	895	2576
258	899	2572
259	902	2569
260	905	2565
261	909	2561
262	913	2558
263	916	2554
264	919	2551
265	923	2548
266	927	2544
267	930	2542
268	935	2541
269	939	2540
270	944	2539
